,0,1,2,3
0,Minna Antrim,"A beautiful woman delights the eye; a wise woman, the understanding; a pure one, the soul.","[beautiful woman, beautiful]",romantic
1,Maya Angelou,"Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.","[love, hope, destination]",romantic
2,Oscar Wilde,"If you are not too long, I will wait here for you all my life.","[life, my life, wait]",romantic
3,Edgar Allan Poe,All that we see or seem is but a dream within a dream.,"[dream, see, within]",romantic
4,John Keats,I love you the more in that I believe you had liked me for my own sake and for nothing else.,"[love, i love you, believe]",romantic
5,Sylvia Plath,Kiss me and you will see how important I am.,"[i am, kiss, me]",romantic
6,William Makepeace Thackeray,"When you look at me, when you think of me, I am in paradise.","[i am, me, paradise]",romantic
7,Richard Bach,True love stories never have endings.,"[love, true love, true]",romantic
8,William Blake,"I am in you and you in me, mutual in divine love.","[love, i am, me]",romantic
9,Jeremy Taylor,Love is friendship set on fire.,"[love, friendship, love is]",romantic
10,Charlie Chaplin,"A tramp, a gentleman, a poet, a dreamer, a lonely fellow, always hopeful of romance and adventure.","[adventure, gentleman, lonely]",romantic
11,Jennifer Aniston,I think it's important to have closure in any relationship that ends - from a romantic relationship to a friendship. You should always have a sense of clarity at the end and know why it began and why it ended. You need that in your life to move cleanly into your next phase.,"[life, friendship, moving on]",romantic
12,Henry Ward Beecher,"Of all the music that reached farthest into heaven, it is the beating of a loving heart.","[music, heart, heaven]",romantic
13,Jane Austen,There is no charm equal to tenderness of heart.,"[heart, equal, tenderness]",romantic
14,Frida Kahlo,I love you more than my own skin.,"[love, i love you, you]",romantic
15,Katharine Lee Bates,"Love planted a rose, and the world turned sweet.","[love, rose, world]",romantic
16,Marilyn Monroe,The real lover is the man who can thrill you just by touching your head or smiling into your eyes - or just by staring into space.,"[eyes, man, space]",romantic
17,Edmond de Goncourt,"Today I begin to understand what love must be, if it exists... When we are parted, we each feel the lack of the other half of ourselves. We are incomplete like a book in two volumes of which the first has been lost. That is what I imagine love to be: incompleteness in absence.","[love, today, book]",romantic
18,Arthur Symons,"A realist, in Venice, would become a romantic by mere faithfulness to what he saw before him.","[venice, him, realist]",romantic
19,Wild Bill Hickok,My dearly beloved if I am to die today and never see the sweet face of you I want you to know that I am no great man and am lucky to have such a woman as you.,"[today, great, woman]",romantic
20,Douglas Horton,The more we are filled with thoughts of lust the less we find true romantic love.,"[love, thoughts, find]",romantic
21,Stephen King,French is the language that turns dirt into romance.,"[language, romance, dirt]",romantic
22,R. Kelly,"I've programmed myself musically to come up with love-feeling tracks that are romantic, sexy, but classy, all in one. And that's the challenge. Once I create that music, then the lyrical content starts to come - you know, the stories and things like that.","[music, myself, challenge]",romantic
23,Mary Roberts Rinehart,"The writing career is not a romantic one. The writer's life may be colorful, but his work itself is rather drab.","[life, work, writing]",romantic
24,R. Kelly,"'Love Letter' reminds me of 'Chocolate Factory' and 'Happy People.' It's a little bit of both of those, yeah. I just wanted it to be classy, man. And romantic. And maybe 10 percent sexy.","[love, happy, man]",romantic
25,Buchi Emecheta,"The first book I wrote was The Bride Price which was a romantic book, but my husband burnt the book when he saw it. I was the typical African woman, I'd done this privately, I wanted him to look at it, approve it and he said he wouldn't read it.","[woman, book, husband]",romantic
