,0,1,2,3
0,Steve Jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.","[inspirational, life, love]",work
1,Pele,"Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.","[love, success, hard work]",work
2,Leah LaBelle,"Work hard for what you want because it won't come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive.","[positive, work hard, mind]",work
3,Colin Powell,"Success is the result of perfection, hard work, learning from failure, loyalty, and persistence.","[success, hard work, learning]",work
4,Colin Powell,"A dream doesn't become reality through magic; it takes sweat, determination and hard work.","[hard work, dreams]",work
5,Caroline Kennedy,"It's true, Christmas can feel like a lot of work, particularly for mothers. But when you look back on all the Christmases in your life, you'll find you've created family traditions and lasting memories. Those memories, good and bad, are really what help to keep a family together over the long haul.","[christmas, life, family]",work
6,Phillip Sweet,"Stay true to yourself, yet always be open to learn. Work hard, and never give up on your dreams, even when nobody else believes they can come true but you. These are not cliches but real tools you need no matter what you do in life to stay focused on your path.","[life, dreams, never give up]",work
7,Gail Devers,"Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe.","[hard work, dreams, faith]",work
8,Summer Sanders,"To be a champion, I think you have to see the big picture. It's not about winning and losing; it's about every day hard work and about thriving on a challenge. It's about embracing the pain that you'll experience at the end of a race and not being afraid. I think people think too hard and get afraid of a certain challenge.","[hard work, experience, end]",work
9,Earl Nightingale,"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.","[life, family, time]",work
10,Satchel Paige,Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching.,"[love, wisdom, money]",work
11,Colin Powell,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.","[success, hard work, learning]",work
12,Robin S. Sharma,"Leadership is not about a title or a designation. It's about impact, influence and inspiration. Impact involves getting results, influence is about spreading the passion you have for your work, and you have to inspire team-mates and customers.","[leadership, passion]",work
13,Vince Lombardi,"The price of success is hard work, dedication to the job at hand, and the determination that whether we win or lose, we have applied the best of ourselves to the task at hand.","[success, best, hard work]",work
14,Abhishek Bachchan,"A birthday is just another day where you go to work and people give you love. Age is just a state of mind, and you are as old as you think you are. You have to count your blessings and be happy.","[love, birthday, age]",work
15,Stanislaw Jerzy Lec,"Youth is the gift of nature, but age is a work of art.","[nature, art, age]",work
16,Tena Desae,"Stay positive and happy. Work hard and don't give up hope. Be open to criticism and keep learning. Surround yourself with happy, warm and genuine people.","[positive, hope, learning]",work
17,Donovan Bailey,"Follow your passion, be prepared to work hard and sacrifice, and, above all, don't let anyone limit your dreams.","[dreams, passion, work hard]",work
18,Lionel Messi,You have to fight to reach your dream. You have to sacrifice and work hard for it.,"[work hard, sacrifice, fight]",work
19,Confucius,"Choose a job you love, and you will never have to work a day in your life.","[life, love, day]",work
20,Josie Loren,"God has blessed me with an amazing family, friends and work colleagues that have been my joy, my support, and my sanity. I don't know what I'd do without them.","[family, god, joy]",work
21,Newt Gingrich,Perseverance is the hard work you do after you get tired of doing the hard work you already did.,"[hard work, perseverance]",work
22,Rumi,Let the beauty of what you love be what you do.,"[love, beauty, you]",work
23,"George Allen, Sr.","Work hard, stay positive, and get up early. It's the best part of the day.","[positive, best, work hard]",work
24,A. P. J. Abdul Kalam,"Never stop fighting until you arrive at your destined place - that is, the unique you. Have an aim in life, continuously acquire knowledge, work hard, and have perseverance to realise the great life.","[life, knowledge]",work
25,Tommy Hilfiger,"The road to success is not easy to navigate, but with hard work, drive and passion, it's possible to achieve the American dream.","[success, hard work, passion]",work
