,0,1,2,3
0,Satchel Paige,Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching.,"[love, work, wisdom]",money
1,Lana Turner,A successful man is one who makes more money than his wife can spend. A successful woman is one who can find such a man.,"[funny, woman, man]",money
2,Nelson Mandela,"Money won't create success, the freedom to make it will.","[success, freedom, create]",money
3,Billy Graham,"The greatest legacy one can pass on to one's children and grandchildren is not money or other material things accumulated in one's life, but rather a legacy of character and faith.","[life, faith, children]",money
4,Barack Obama,"Money is not the only answer, but it makes a difference.","[answer, difference, only]",money
5,Bo Derek,Whoever said money can't buy happiness simply didn't know where to go shopping.,"[happiness, shopping, know]",money
6,Margaret Walker,Friends and good manners will carry you where money won't go.,"[friendship, good, friends]",money
7,Plautus,"The day, water, sun, moon, night - I do not have to purchase these things with money.","[nature, water, moon]",money
8,Henry Ford,A business that makes nothing but money is a poor business.,"[business, nothing, poor]",money
9,Warren Buffett,Rule No.1: Never lose money. Rule No.2: Never forget rule No.1.,"[never forget, forget, lose]",money
10,John Ruskin,A little thought and a little kindness are often worth more than a great deal of money.,"[kindness, great, thought]",money
11,Donald Trump,Sometimes your best investments are the ones you don't make.,"[best, you, sometimes]",money
12,Mark Twain,The lack of money is the root of all evil.,"[evil, lack, root]",money
13,Kinky Friedman,"Money can buy you a fine dog, but only love can make him wag his tail.","[love, pet, dog]",money
14,Henry David Thoreau,Wealth is the ability to fully experience life.,"[life, experience, wealth]",money
15,Douglas Adams,"To give real service you must add something which cannot be bought or measured with money, and that is sincerity and integrity.","[integrity, service, you]",money
16,Henry Kravis,"If you don't have integrity, you have nothing. You can't buy it. You can have all the money in the world, but if you are not a moral and ethical person, you really have nothing.","[integrity, world, moral]",money
17,Adam Smith,"Labour was the first price, the original purchase - money that was paid for all things. It was not by gold or by silver, but by labour, that all wealth of the world was originally purchased.","[world, wealth, gold]",money
18,Will Rogers,A fool and his money are soon elected.,"[politics, fool, soon]",money
19,Kimora Lee Simmons,It's not about how skinny you are or how much money or how many diamonds you have - that's the fluff that people sometimes look at as being the main thing. It's about understanding that the things that make you fabulous are all inside of you.,"[people, diamonds]",money
20,Karl Pilkington,"I've done some luxury flying, which is brilliant. It has only happened once or twice, but it was nice because flying is the worst part of the holiday. But then again, if the plane crashes, you're still dead. For that much money I'd want a little capsule that whizzed me off to safety if it was going to crash.","[holiday, safety, me]",money
21,George Best,"I spent a lot of money on booze, birds and fast cars. The rest I just squandered.","[car, birds, rest]",money
22,Tupac Shakur,"If I win and get the money, then the Oakland Police department is going to buy a boys' home, me a house, my family a house, and a Stop Police Brutality Center.","[family, home, police]",money
23,Margaret Thatcher,The problem with socialism is that you eventually run out of other peoples' money.,"[government, problem]",money
24,Joseph Campbell,"I think the person who takes a job in order to live - that is to say, for the money - has turned himself into a slave.","[work, job, live]",money
25,Robert Frost,A bank is a place where they lend you an umbrella in fair weather and ask for it back when it begins to rain.,"[rain, weather, place]",money
