,0,1,2,3
0,Marcus Tullius Cicero,The safety of the people shall be the highest law.,"[safety, law, people]",legal
1,Will Rogers,Make crime pay. Become a lawyer.,"[lawyer, crime, pay]",legal
2,Potter Stewart,Ethics is knowing the difference between what you have a right to do and what is right to do.,"[ethics, you, knowing]",legal
3,Camille Paglia,"I say the law should be blind to race, gender and sexual orientation, just as it claims to be blind to wealth and power. There should be no specially protected groups of any kind, except for children, the severely disabled and the elderly, whose physical frailty demands society's care.","[children, power, society]",legal
4,Edmund Burke,"People crushed by laws, have no hope but to evade power. If the laws are their enemies, they will be enemies to the law; and those who have most to hope and nothing to lose will always be dangerous.","[hope, power, law]",legal
5,Norman Ralph Augustine,People do not win people fights. Lawyers do.,"[people, win, lawyers]",legal
6,Robert E. Lee,Obedience to lawful authority is the foundation of manly character.,"[character, foundation]",legal
7,Steven Wright,"I busted a mirror and got seven years bad luck, but my lawyer thinks he can get me five.","[mirror, luck, lawyer]",legal
8,William E. Gladstone,Justice delayed is justice denied.,"[justice, delayed, denied]",legal
9,Aaron Allston,Lawyers are the first refuge of the incompetent.,"[lawyers, first, incompetent]",legal
10,Evander Holyfield,"Well, when I think of steroids I think of an image. You have the advantage over someone, which is a form of cheating. I guess it wouldn't be right unless it was legal for everybody. Reason it's not legal for everybody is because it can hurt people seriously.","[people, cheating, steroids]",legal
11,Joseph Addison,No oppression is so heavy or lasting as that which is inflicted by the perversion and exorbitance of legal authority.,"[oppression, authority, heavy]",legal
12,Robert Casey,The advocates of abortion on demand falsely assume two things: that women must suffer if the lives of unborn children are legally protected; and that women can only attain equality by having the legal option of destroying their innocent offspring in the womb.,"[women, children, equality]",legal
13,Jon Porter,It is imperative that when thousands of selfless volunteers respond to those who have incurred the wrath of a natural disaster that legal liability need not be hanging over their heads.,"[selfless, need, wrath]",legal
14,Bryant H. McGill,"The real violence is committed in the writing of history, the records of the legal system, the reporting of news, through the manipulation of social contracts, and the control of information.","[history, violence, writing]",legal
15,Rick Warren,"In Psalm 72, Solomon prays for power and fame but he says the purpose of influence is to speak up for others and one is the immigrant. He doesn't delineate between legal and illegal.","[power, influence, purpose]",legal
16,Andrew Jackson,"The duty of government is to leave commerce to its own capital and credit as well as all other branches of business, protecting all in their legal pursuits, granting exclusive privileges to none.","[business, government, credit]",legal
17,Julian Assange,"In my role as Wikileaks editor, I've been involved in fighting off many legal attacks. To do that, and keep our sources safe, we have had to spread assets, encrypt everything, and move telecommunications and people around the world to activate protective laws in different national jurisdictions.","[world, people, fighting]",legal
18,Romeo LeBlanc,We owe the Aboriginal peoples a debt that is four centuries old. It is their turn to become full partners in developing an even greater Canada. And the reconciliation required may be less a matter of legal texts than of attitudes of the heart.,"[heart, canada, matter]",legal
19,Jose Serrano,"We must make immigration a legal, orderly process to eliminate this issue, not further criminalize it.","[immigration, process]",legal
20,Ziggy Marley,"Alcohol, tobacco, and pharmaceutical drugs are legal, but they can hurt a lot of people.","[people, alcohol, hurt]",legal
21,Calvin Coolidge,One with the law is a majority.,"[law, majority]",legal
22,Voltaire,It is better to risk saving a guilty man than to condemn an innocent one.,"[man, risk, better]",legal
23,Paul Ricoeur,Testimony should be a philosophical problem and not limited to legal or historical contexts where it refers to the account of a witness who reports what he has seen.,"[problem, testimony, where]",legal
24,Anita Hill,I'm not sure I can say there is a clean line between me as an individual and me as a lawyer.,"[lawyer, me, clean]",legal
25,Charles Lamb,"Lawyers, I suppose, were children once.","[children, lawyers, once]",legal
