,0,1,2,3
0,Donna Brazile,I was motivated to be different in part because I was different.,"[be different, different]",motivational
1,Dieter F. Uchtdorf,We need to accept that the commandments of God aren't just a long list of good ideas. They aren't 'life hacks' from an Internet blog or motivational quotes from a Pinterest board.,"[life, god, good]",motivational
2,J. R. Martinez,"I'm going to write a book, continue acting, continue motivational speaking and just share with people who I am and what I've learned in my second chance of life and pass it on to people in their first chance of life.","[life, book, i am]",motivational
3,Christopher Morley,Big shots are only little shots who keep shooting.,"[shooting, big, shots]",motivational
4,Pauline Kael,"Where there is a will, there is a way. If there is a chance in a million that you can do something, anything, to keep what you want from ending, do it. Pry the door open or, if need be, wedge your foot in that door and keep it open.","[door, chance, ending]",motivational
5,Peter Marshall,Small deeds done are better than great deeds planned.,"[great, small, better]",motivational
6,Denis Waitley,"Learn from the past, set vivid, detailed goals for the future, and live in the only moment of time over which you have any control: now.","[time, future, goals]",motivational
7,Kyle Chandler,"Opportunity does not knock, it presents itself when you beat down the door.","[opportunity, door, down]",motivational
8,James Rollins,"The turning point was when I hit my 30th birthday. I thought, if really want to write, it's time to start. I picked up the book How to Write a Novel in 90 Days. The author said to just write three pages a day, and I figured, I can do this. I never got past Page 3 of that book.","[birthday, time, past]",motivational
9,Beverly Sills,I've always tried to go a step past wherever people expected me to end up.,"[end, past, people]",motivational
10,Ralph Waldo Emerson,Hitch your wagon to a star.,"[star, your, hitch]",motivational
11,John Burroughs,"Leap, and the net will appear.","[will, leap, net]",motivational
12,Rupert Murdoch,"In motivating people, you've got to engage their minds and their hearts. I motivate people, I hope, by example - and perhaps by excitement, by having productive ideas to make others feel involved.","[hope, people, ideas]",motivational
13,Shakti Gawain,You create your opportunities by asking for them.,"[opportunities, you, create]",motivational
14,Jimmy Dean,Poverty was the greatest motivating factor in my life.,"[life, greatest, poverty]",motivational
15,Unknown,The past cannot be changed. The future is yet in your power.,"[future, power, past]",motivational
16,Anupam Kher,"I started doing motivational tours. I've seen all kinds of people, from the CEOs to the lowest executive, opening up to their fears. We don't introspect as much as we should.","[people, doing, opening]",motivational
17,Baltasar Gracian,Know or listen to those who know.,"[know, listen, who]",motivational
18,Ella Wheeler Wilcox,"Always continue the climb. It is possible for you to do whatever you choose, if you first get to know who you are and are willing to work with a power that is greater than ourselves to do it.","[work, power, know]",motivational
19,John Burroughs,A somebody was once a nobody who wanted to and did.,"[nobody, somebody, wanted]",motivational
20,Leo Durocher,I come to win.,"[win, come]",motivational
21,Oprah Winfrey,Do the one thing you think you cannot do. Fail at it. Try again. Do better the second time. The only people who never tumble are those who never mount the high wire. This is your moment. Own it.,"[time, people, moment]",motivational
22,Robert Louis Stevenson,To be wholly devoted to some intellectual exercise is to have succeeded in life.,"[life, exercise, intellectual]",motivational
23,Rose Kennedy,"I know not age, nor weariness nor defeat.","[age, defeat, know]",motivational
24,Orison Swett Marden,A will finds a way.,"[way, will, finds]",motivational
25,Philip Emeagwali,The hardships that I encountered in the past will help me succeed in the future.,"[future, past, help]",motivational
