,0,1,2,3
0,John Wooden,"Be true to yourself, help others, make each day your masterpiece, make friendship a fine art, drink deeply from good books - especially the Bible, build a shelter against a rainy day, give thanks for your blessings and pray for guidance every day.","[friendship, thankful, good]",art
1,Henry David Thoreau,This world is but a canvas to our imagination.,"[imagination, world, canvas]",art
2,Stanislaw Jerzy Lec,"Youth is the gift of nature, but age is a work of art.","[work, nature, age]",art
3,Jackson Pollock,"I have no fear of making changes, destroying the image, etc., because the painting has a life of its own.","[life, fear, painting]",art
4,Sun Tzu,The supreme art of war is to subdue the enemy without fighting.,"[war, enemy, fighting]",art
5,Albert Einstein,It is the supreme art of the teacher to awaken joy in creative expression and knowledge.,"[teacher, knowledge, joy]",art
6,Edgar Degas,"Art is not what you see, but what you make others see.","[see, you, others]",art
7,Pablo Picasso,The purpose of art is washing the dust of daily life off our souls.,"[life, daily, purpose]",art
8,Jonathan Swift,Vision is the art of seeing what is invisible to others.,"[vision, invisible, others]",art
9,Gustave Flaubert,Artists who seek perfection in everything are those who cannot attain it in anything.,"[perfection, everything]",art
10,Valentino Rossi,Riding a race bike is an art - a thing that you do because you feel something inside.,"[bike, you, race]",art
11,Ralph Waldo Emerson,Love of beauty is taste. The creation of beauty is art.,"[love, beauty, creation]",art
12,Bernie Siegel,"Feelings aroused by the touch of someone's hand, the sound of music, the smell of a flower, a beautiful sunset, a work of art, love, laughter, hope and faith - all work on both the unconscious and the conscious aspects of the self, and they have physiological consequences as well.","[love, music, work]",art
13,Henry Ward Beecher,"Every artist dips his brush in his own soul, and paints his own nature into his pictures.","[nature, soul, artist]",art
14,Don Marquis,Procrastination is the art of keeping up with yesterday.,"[funny, procrastination]",art
15,Walt Whitman,"The art of art, the glory of expression and the sunshine of the light of letters, is simplicity.","[light, simplicity, sunshine]",art
16,Aristotle,"Excellence is an art won by training and habituation. We do not act rightly because we have virtue or excellence, but we rather have those because we have acted rightly. We are what we repeatedly do. Excellence, then, is not an act but a habit.","[excellence, training, habit]",art
17,Julia Morgan,"Architecture is a visual art, and the buildings speak for themselves.","[architecture, speak]",art
18,Friedrich Nietzsche,"The essence of all beautiful art, all great art, is gratitude.","[gratitude, great, beautiful]",art
19,W. Somerset Maugham,Every production of an artist should be the expression of an adventure of his soul.,"[adventure, soul, artist]",art
20,Scott Adams,Creativity is allowing yourself to make mistakes. Art is knowing which ones to keep.,"[creativity, mistakes]",art
21,Herbert Read,"The modern work of art, as I have said, is a symbol.","[work, said, modern]",art
22,Aristotle,"The aim of art is to represent not the outward appearance of things, but their inward significance.","[appearance, aim, things]",art
23,Pablo Picasso,"Some painters transform the sun into a yellow spot, others transform a yellow spot into the sun.","[sun, others, yellow]",art
24,Arthur Erickson,"Whenever we witness art in a building, we are aware of an energy contained by it.","[architecture, building]",art
25,Elliott Erwitt,"To me, photography is an art of observation. It's about finding something interesting in an ordinary place... I've found it has little to do with the things you see and everything to do with the way you see them.","[photography, me, finding]",art
