,0,1,2,3
0,Charles R. Swindoll,Life is 10% what happens to you and 90% how you react to it.,"[life, you, react]",motivational
1,St. Jerome,"Good, better, best. Never let it rest. 'Til your good is better and your better is best.","[best, good, better]",motivational
2,Bradley Whitford,"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.","[life, love, hope]",motivational
3,Eleanor Roosevelt,With the new day comes new strength and new thoughts.,"[strength, day, thoughts]",motivational
4,Helen Keller,Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,"[hope, faith, confidence]",motivational
5,Nikos Kazantzakis,"In order to succeed, we must first believe that we can.","[believe, succeed, first]",motivational
6,Og Mandino,Failure will never overtake me if my determination to succeed is strong enough.,"[failure, determination]",motivational
7,Nelson Mandela,It always seems impossible until it's done.,"[impossible, done, always]",motivational
8,Og Mandino,"Always do your best. What you plant now, you will harvest later.","[best, do your best, plant]",motivational
9,Theodore Roosevelt,"Keep your eyes on the stars, and your feet on the ground.","[stars, eyes, feet]",motivational
10,Norman Vincent Peale,Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.,"[faith, happy, confidence]",motivational
11,Aristotle,"Quality is not an act, it is a habit.","[quality, habit, act]",motivational
12,Rabindranath Tagore,You can't cross the sea merely by standing and staring at the water.,"[water, sea, you]",motivational
13,Confucius,It does not matter how slowly you go as long as you do not stop.,"[long, matter, you]",motivational
14,Walt Disney,"If you can dream it, you can do it.","[you can do it, dream, you]",motivational
15,Jim Elliot,Wherever you are - be all there.,"[you, wherever]",motivational
16,Ayn Rand,"A creative man is motivated by the desire to achieve, not by the desire to beat others.","[man, creative, desire]",motivational
17,Sam Levenson,Don't watch the clock; do what it does. Keep going.,"[keep going, clock, watch]",motivational
18,Confucius,"The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence.","[excellence, door, potential]",motivational
19,Ralph Marston,What you do today can improve all your tomorrows.,"[today, you, improve]",motivational
20,A. P. J. Abdul Kalam,We should not give up and we should not allow the problem to defeat us.,"[defeat, problem, us]",motivational
21,Robert H. Schuller,"Problems are not stop signs, they are guidelines.","[problems, stop, signs]",motivational
22,Mark Twain,The secret of getting ahead is getting started.,"[ahead, getting started]",motivational
23,George S. Patton,Accept the challenges so that you can feel the exhilaration of victory.,"[victory, challenges, accept]",motivational
24,Arthur Ashe,Start where you are. Use what you have. Do what you can.,"[start, you, where]",motivational
25,Thomas A. Edison,Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,"[time, giving, greatest]",motivational
